Commodity Name,Week Ending,Pounds,Boxes of 8.8 lbs
MANGOS,1/1/2022,"13,321,114","1,513,763"
MANGOS,1/8/2022,"15,869,599","1,803,364"
MANGOS,1/15/2022,"14,914,481","1,694,827"
MANGOS,1/22/2022,"13,806,458","1,568,916"
MANGOS,1/29/2022,"12,248,572","1,391,883"
MANGOS,2/5/2022,"17,341,523","1,970,628"
MANGOS,2/12/2022,"19,489,293","2,214,692"
MANGOS,2/19/2022,"19,498,694","2,215,761"
MANGOS,2/26/2022,"24,144,256","2,743,665"
MANGOS,3/5/2022,"24,323,619","2,764,048"
MANGOS,3/12/2022,"29,178,597","3,315,750"
MANGOS,3/19/2022,"27,721,651","3,150,188"
MANGOS,3/26/2022,"28,624,028","3,252,730"
MANGOS,4/2/2022,"30,536,109","3,470,012"
MANGOS,4/9/2022,"35,770,568","4,064,837"
MANGOS,4/16/2022,"29,077,550","3,304,267"
MANGOS,4/23/2022,"25,408,940","2,887,380"
MANGOS,4/30/2022,"24,752,078","2,812,736"
MANGOS,5/7/2022,"30,692,092","3,487,738"
MANGOS,5/14/2022,"34,446,060","3,914,325"
MANGOS,5/21/2022,"34,517,087","3,922,396"
MANGOS,5/28/2022,"31,174,352","3,542,540"
MANGOS,6/4/2022,"23,821,403","2,706,978"
MANGOS,6/11/2022,"30,637,617","3,481,547"
MANGOS,6/18/2022,"27,495,749","3,124,517"
MANGOS,6/25/2022,"25,402,907","2,886,694"
MANGOS,7/2/2022,"31,139,195","3,538,545"
MANGOS,7/9/2022,"29,140,221","3,311,389"
MANGOS,7/16/2022,"38,314,178","4,353,884"
MANGOS,7/23/2022,"39,287,533","4,464,492"
MANGOS,7/30/2022,"37,485,348","4,259,699"
MANGOS,8/6/2022,"28,259,685","3,211,328"
MANGOS,8/13/2022,"32,997,891","3,749,760"
MANGOS,8/20/2022,"35,772,384","4,065,044"
MANGOS,8/27/2022,"25,983,866","2,952,712"
MANGOS,9/3/2022,"29,709,716","3,376,104"
MANGOS,9/10/2022,"16,331,523","1,855,855"
MANGOS,9/17/2022,"22,884,737","2,600,538"
MANGOS,9/24/2022,"18,909,993","2,148,863"
MANGOS,10/1/2022,"22,062,985","2,507,157"
MANGOS,10/8/2022,"19,261,030","2,188,753"
MANGOS,10/15/2022,"14,230,968","1,617,155"
MANGOS,10/22/2022,"12,574,989","1,428,976"
MANGOS,10/29/2022,"15,520,395","1,763,681"
MANGOS,11/5/2022,"14,713,307","1,671,967"
MANGOS,11/12/2022,"18,101,496","2,056,988"
MANGOS,11/19/2022,"10,271,150","1,167,176"
MANGOS,11/26/2022,"15,766,933","1,791,697"
MANGOS,12/3/2022,"13,658,238","1,552,073"
MANGOS,12/10/2022,"17,979,059","2,043,075"
MANGOS,12/17/2022,"17,079,425","1,940,844"
MANGOS,12/24/2022,"17,357,692","1,972,465"
MANGOS,12/31/2022,"21,782,506","2,475,285"
